name;web_0;web_2;web_3;web_4;web_5;additional_info_0;additional_info_1;additional_info_2;additional_info_3;additional_info_4;description;web_1;additional_info_5;additional_info_6;additional_info_7;additional_info_8;additional_info_9;additional_info_10
Dieter;www.dieter-datenschutz.de;;;;;Business Software;Security and Privacy;;B2C;;Business Software;;;;;;;
Emocional;www.emocional.co;;;;;Health Care;;B2B;;Pre-Seed;Health Care;https://www.linkedin.com/company/emocionaltech/mycompany/;;;;;;
overtone;www.overtone.ai;;;;;Business Software;Media, Entertainment and Publishing;;B2C;;Business Software;https://www.linkedin.com/company/overtonetech/;Pre-Seed;;;;;
vendimo;www.vendimo.de;;;;;Proptech;;B2C;;Pre-Seed;Proptech;https://www.linkedin.com/company/vendimoimmobilien/;;;;;;
Veritic;;;;;;Community and Lifestyle;Media, Entertainment and Publishing;;B2C;;Community and Lifestyle;;Pre-Seed;;;;;
Yolla;www.goyolla.com;;;;;Consumer Goods;Food and Beverage;;B2C;;Consumer Goods;;;;;;;
Hashup;https://hashup.it;;;;;eSports and Gaming;web3;;Seed;;eSports and Gaming;https://www.linkedin.com/company/hashupit/;;;;;;
Lama;www.letslama.com;;;;;FinTech;;B2C;;Pre-Seed;FinTech;https://www.linkedin.com/company/letslama/;;;;;;
Bigfoot;YourYeti.co;;;;;Community and Lifestyle;;B2C;;Pre-Seed;Community and Lifestyle;;;;;;;
mysupply;https://mysupply.de/en;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.linkedin.com/company/mysupplyde;;;;;;
Augmented Hearing;https://augmentedhearing.io;;;;;AR/VR;;B2B;;Pre-Seed;AR/VR;https://www.linkedin.com/company/69793909/admin/;;;;;;
Duke;www.call-a-duke.com;;;;;Transportation;Travel and Tourism;;B2B2C;;Transportation;https://www.linkedin.com/company/call-a-duke/about/;Pre-Seed;;;;;
Cappi;cappi.app;;;;;FinTech;;B2B;;Pre-Seed;FinTech;;;;;;;
Airtime;https://airtimeux.com/;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.linkedin.com/company/airtimeux/;;;;;;
Dana;https://www.linkedin.com/company/65514988/admin/;;;;;Health Care;;B2B2C;;Pre-Seed;Health Care;www.dana-app.com;;;;;;
peers.;https://www.hellopeers.de;;;;;Health Care;;B2C;;Pre-Seed;Health Care;https://www.linkedin.com/company/85075949/admin/;;;;;;
Wholesome Health;http://www.wholesomehealth.de/;;;;;Health Care;;B2C;;Pre-Seed;Health Care;https://www.linkedin.com/company/wholesomehealthgmbh;;;;;;
Genie;https://genieframework.com/;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.linkedin.com/company/geniecorp/;;;;;;
Wefindflats;https://www.wefindflats.com/;;;;;Proptech;;B2B2C;;Pre-Seed;Proptech;https://www.linkedin.com/company/wefindflats;;;;;;
EasyQuant;https://www.linkedin.com/company/easyquant;;;;;FinTech;;B2C;;Pre-Seed;FinTech;easyquant.de;;;;;;
doshi;https://www.linkedin.com/company/doshiapp;;;;;FinTech;web3;;B2C;;FinTech;;Pre-Seed;;;;;
sway;https://www.linkedin.com/company/sway-money/;;;;;FinTech;;B2B2C;;Pre-Seed;FinTech;;;;;;;
GetEase;https://www.linkedin.com/company/getease/;;;;;Community and Lifestyle;;B2C;;Pre-Seed;Community and Lifestyle;;;;;;;
justhome;;;;;;FinTech;Proptech;;B2C;;FinTech;;Pre-Seed;;;;;
Incube Space;;;;;;Proptech;;B2B;;Pre-Seed;Proptech;;;;;;;
NeuralSpace;;;;;;Business Software;Data and Analytics;;B2B;;Business Software;;Seed;;;;;
Quiver;https://getquiver.co.uk;;;;;Business Software;Consumer Goods;;B2B;;Business Software;https://www.linkedin.com/company/quiver-co/;Pre-Seed;;;;;
Stryza;https://www.linkedin.com/company/73852428/admin/;;;;;Business Software;Manufacturing;;B2B;;Business Software;www.stryza.com;Pre-Seed;;;;;
Recoro;https://recoro.io;;;;;B2B;;Pre-Seed;;;B2B;;;;;;;
Hirize;https://www.linkedin.com/company/80397060/;;;;;Human Resources;;B2B;;Pre-Seed;Human Resources;www.hirize.co;;;;;;
Notch;https://www.linkedin.com/company/notchso;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.notch.so/;;;;;;
Envoy;https://envoy.is;;;;;Advertising;Data and Analytics;Marketing and Sales;Media, Entertainment and Publishing;Music and Audio;Advertising;;;B2B;;Pre-Seed;;
Moojo;https://moojo.io/;;;;;FinTech;;B2C;;Pre-Seed;FinTech;;;;;;;
Titan Academy;www.titanacademy.io;;;;;Education;eSports and Gaming;;B2C;;Education;https://www.linkedin.com/company/71753281/admin/;Pre-Seed;;;;;
Deepgears;https://deepgears.com/;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.linkedin.com/company/deepgears/;;;;;;
Codio Impact;https://codioimpact.com;;;;;2021;Business Software;;B2B;;2021;https://www.linkedin.com/company/80092088/admin/;Pre-Seed;;;;;
Marq;www.linkedin.com/company/marqapp/;;;;;January 2021;Education;;B2C;;January 2021;https://marq.cc;Pre-Seed;;;;;
Exponential Technologies;www.x-t.ai;;;;;Business Software;Data and Analytics;Information Technology;;B2B;Business Software;https://www.linkedin.com/company/x-t/;;Seed;;;;
WPCS;https://www.linkedin.com/company/wpcs-io/;;;;;Business Software;;B2B2C;;Pre-Seed;Business Software;https://wpcs.io;;;;;;
Piggit;https://www.linkedin.com/company/piggit/;;;;;FinTech;;B2C;;Pre-Seed;FinTech;https://piggitapp.com/;;;;;;
Dealcode;https://www.linkedin.com/company/dealcode/;;;;;Business Software;Data and Analytics;;B2B;;Business Software;https://www.dealcode.ai/;Pre-Seed;;;;;
Humant Life;https://www.linkedin.com/company/humant-life/;;;;;Media, Entertainment and Publishing;;;;;Media, Entertainment and Publishing;https://www.humant.life/;;;;;;
beatvest;https://www.beatvest.com/;;;;;Education;FinTech;;B2C;;Education;https://www.linkedin.com/company/beatvest/;Pre-Seed;;;;;
Positive Carbon;https://www.linkedin.com/mwlite/company/positive-carbon;;;;;Data and Analytics;;B2B;;Pre-Seed;Data and Analytics;https://positivecarbon.org;;;;;;
GerneOhne;;;;;;;;;;;;;;;;;;
nuvo;https://www.linkedin.com/company/getnuvo;;;;;Business Software;;B2B;;Seed;Business Software;https://getnuvo.com/;;;;;;
Zoyya;https://www.linkedin.com/company/zoyya/;;;;;Business Software;;B2B2C;;Pre-Seed;Business Software;https://en.zoyya.com;;;;;;
Konvi;https://www.linkedin.com/company/konviapp/;;;;;FinTech;;B2C;;Pre-Seed;FinTech;https://konvi.app;;;;;;
Shapematchr;https://shapematchr.com;;;;;AR/VR;Community and Lifestyle;Consumer Goods;Data and Analytics;;AR/VR;;B2B2C;;Pre-Seed;;;
Bendi;www.bendi.wtf;;;;;Business Software;Consumer Goods;Data and Analytics;;B2B;Business Software;https://www.linkedin.com/company/67214137/admin/;;Pre-Seed;;;;
Askui;https://www.askui.com;;;;;Business Software;;B2B;;Pre-Seed;Business Software;https://www.linkedin.com/company/askyourui/;;;;;;
Pool;https://p-o-o-l.xyz/;;;;;Community and Lifestyle;Consumer Electronics;;B2C;;Community and Lifestyle;https://www.linkedin.com/company/68976247/admin/;Pre-Seed;;;;;
Deine Pflege by Ucura;www.deinepflege.de;;;;;Data and Analytics;Health Care;;B2C;;Data and Analytics;https://www.linkedin.com/company/ucura;Pre-Seed;;;;;
FYTA;https://fyta.de;;;;;Consumer Goods;;B2C;;Pre-Seed;Consumer Goods;https://www.linkedin.com/company/14044769;;;;;;
heyvie;https://www.hayv.io;;;;;Health Care;Information Technology;;B2C;;Health Care;https://www.linkedin.com/company/hayvio/;Pre-Seed;;;;;
TerrainQ;https://www.terrainq-solutions.com/;;;;;Consumer Goods;;B2B;;Pre-Seed;Consumer Goods;https://www.linkedin.com/company/terrainqsolutions;;;;;;
Lifelive;https://www.lifelive.io/;;;;;Media, Entertainment and Publishing;;B2B;;Pre-Seed;Media, Entertainment and Publishing;https://www.linkedin.com/company/lifelive-io;;;;;;
heytimi;https://www.heytimi.de;;;;;Education;;B2C;;Pre-Seed;Education;https://www.linkedin.com/company/71524139/;;;;;;
SQIN;https://www.linkedin.com/company/sqin-app/;;;;;2018;Health Care;;B2B2C;;2018;;Pre-Seed;;;;;
The New Health Club;;;;;;Community and Lifestyle;Media, Entertainment and Publishing;;B2B2C;;Community and Lifestyle;;Pre-Seed;;;;;
KOSA AI;;;;;;Information Technology;;B2B;;Pre-Seed;Information Technology;;;;;;;
forloop.ai;https://www.linkedin.com/company/forloop-ai;;;;;Business Software;Information Technology;;B2B;;Business Software;https://forloop.ai/;Pre-Seed;;;;;
synsor.ai;;;;;;Manufacturing;;B2B;;Pre-Seed;Manufacturing;;;;;;;
syndicai;https://syndicai.co;;;;;Information Technology;;B2B;;Pre-Seed;Information Technology;https://linkedin.com/company/syndicai;;;;;;
promiseQ;https://www.linkedin.com/company/promiseq;;;;;Business Software;Proptech;Security and Privacy;;B2B;Business Software;;;Pre-Seed;;;;
Bluedot;https://www.linkedin.com/company/bluedottechnologies/;;;;;2019;E-Mobility;;B2B2C;;2019;https://www.thebluedot.co;;;;;;
BILDIA;https://www.linkedin.com/company/bildia;;;;;2020;Business Software;Marketing and Sales;Science and Engineering;;2020;;B2B;;Pre-Seed;;;
PLAN3T;https://plan3t.one/;;;;;2020;FinTech;;B2C;;2020;https://www.linkedin.com/company/plan3t/?viewAsMember=true;Pre-Seed;;;;;
MinQi;https://www.linkedin.com/company/36993480;;;;;2019;Health Care;Human Resources;Sports;;2019;;B2B2C;;Seed;;;
Roombles;https://roombles.com;;;;;2020;Advertising;Community and Lifestyle;Consumer Goods;Data and Analytics;2020;https://www.linkedin.com/company/54125726/admin/;Marketing and Sales;;B2B2C;;Pre-Seed;
SkySERVE (by Hyspace);http://skyserve.ai/;;;;;2020;Data and Analytics;;B2B;;2020;;Pre-Seed;;;;;
foodable;https://www.linkedin.com/company/foodableapp/?viewAsMember=true;;;;;Food and Beverage;;;;;Food and Beverage;;;;;;;
MySecondEar;https://www.facebook.com/mysecondear;https://www.mysecondear.de/;;;;2019;Health Care;;B2C;;2019;https://www.instagram.com/mysecondear_official/;Pre-Seed;;;;;
