,company_name,web,description,business_model,stage,city,email,phone_number_text,linkedin
0,MySecondEar,www.mysecondear.de,,b2c,pre_seed,Berlin,mysecondear.founders@apx.vc,,https://www.linkedin.com/company/mysecondear
0,Bonrepublic,www.bonrepublic.de,"Bonrepublic is an employee centric talent management platform that helps companies unleash the full potential of their employees by driving employee engagement and performance across the organization. A unique marketplace for rewards and courses, that is connected to recognitions, challenges and feedback analysis, allows companies to spend their benefits and learning budget in the most efficient manner. ",b2b,seed,Vienna,bonrepublic.founders@apx.vc,436769500037,https://www.linkedin.com/company/bonrepublic/
0,Showroom,showroom.app,"For sales reps who are selling products on the go, SHOW:ROOM is a lightweight, mobile-focused sales platform, that provides reps with a personal space, which helps them close more deals.

Unlike CRM systems and other complicated sales software, our product focuses on end-customer experience, making interaction and order effortless.

→ The best buying experience in B2B sales",b2b,pre_seed,Berlin,thien@showroom.app,,https://www.linkedin.com/company/showroomapp
0,Clous,https://www.clous.io,"We enable cognitive process automation in engineering and create for our customers a significant increase in the productivity of their engineers. In doing so, we are pioneers in the large and fast-growing market for process automation, as we are the first to address engineering. ",b2b,pre_seed,Berlin,hello@clous.io,491703859218,https://www.linkedin.com/company/clous
0,Fabrikatör,,We democratize industry-level supply planning technologies for everyone in the eCommerce space.,b2b,pre_seed,Berlin,fabrikatoer.founders@apx.vc,,https://www.linkedin.com/company/fabrikator/
0,LEON Mobility,nubsee.io,"XOO is the smart charging infrastructure for sustainable micromobility in public spaces. XOO charging points distributed across the city charge e-scooters and e-scooters where the need is - efficiently, energy-saving and tidily.",b2b,seed,Leonberg,mat@leon-mobility.com,491742022272,https://www.linkedin.com/company/leon-mobility/
0,AUCTA,www.aucta.io,"Built for enterprise from the ground up, our 3D visualization software provides the tools you need to quickly turn your CAD files into interactive content you can then easily manage and deploy.",b2b,pre_seed,Berlin,contact@aucta.io,,https://www.linkedin.com/company/aucta/
0,CooperHire GmbH,jobsier.co,"





",b2b2c,pre_seed,Berlin,aa@cooperhire.io,,https://www.linkedin.com/company/jobsier/
0,getquin,www.getquin.com,"getquin was created in March 2020, with the mission to help all kinds of investors not only to manage their investments but also to enable them to make informed investment decisions by offering a trusted platform to exchange with friends, family and verified investors. If you want to take your money into your own hands, then you are at the right place! Utilise our social network to get feedback and inspiration from a global community of investors, follow the strategies of your friends or use our tools to build your first portfolio from scratch.",b2c,seed,Berlin,raphael@getquin.com,017628905139,https://www.linkedin.com/company/getquin/
0,Bonnet,www.bonnetelectric.com,"ONE App, ONE subscription, ALL charging stations. There is no reason why you as a driver should carry the burden if charging operators don't want to integrate. We are taking charge and opening interoperability with a single monthly subscription fee so you can gain access to all the charging networks.",b2c,pre_seed,London,patrick@bonnetelectric.com,44(0) 7533150555,https://www.linkedin.com/company/bonnet/
0,Marine Digital GmbH,https://marine-digital.com/,Marine Digital is a technological startup focused on high-accuracy energy efficiency analytics and optimization tools for the maritime supply chain. We accumulate the most complex data set in the industry and using machine learning algorithms we build the digital twin of the vessel to simulate the fuel consumption and emission and identify bottlenecks of operational efficiency. Based on the advanced analytics fleet management companies and everyone using marine transportation in their chain could optimize and plan their operations efficiently.,b2b,seed,Lübeck,i.ladan@marine-digital.com,4917664133119,https://www.linkedin.com/company/marine-digital/
0,Scavengar,,"Scavengar makes it possible to play and create worldwide scavenger hunts in augmented reality. By combining the familiar concept of a scavenger hunt with powerful technologies like augmented reality, computer vision and machine learning it aims to create a more immersive, more fun and more flexible gameplay for the user and content creators.",b2c,pre_seed,Berlin,scavengar.founders@apx.vc,,https://www.linkedin.com/company/scavengar/
0,Spotter,,"Enabling creators to organise, manage, and collaborate on visual creative content in one super social workspace. 

Made for designers, marketers, photographers and videographers. Content coordinators, brand and social media managers. Creative directors, runners – and many (many) more.",b2b,pre_seed,Berlin,contact@spotterlabs.com,,https://www.linkedin.com/company/spotterlabs/
0,ThinkImmo,,"Together with experts from the real estate industry, we have combined the most important criteria for the search of the right property with ThinkImmo.

With our unique filters, we help our users to find the right property.",b2c,pre_seed,Berlin,thinkimmo.founders@apx.vc,,https://www.linkedin.com/company/thinkimmo/
0,VisioLab,,We combine human-centric artificial intelligence and the responsibility to make data-driven decisions in order to create a more sustainable food economy around the world.,b2b,pre_seed,Osnabruck,visiolab.founders@apx.vc,,https://www.linkedin.com/company/visiolab
0,Haslle,,"Haslle helps you manage company budgets, purchases and subscriptions using smart payment cards collaboratively with your team.",b2b,pre_seed,Vilnius,haslle.founders@apx.vc,,https://www.linkedin.com/company/hasslecom
0,Ghost - feel it,,"Ghost - feel it is a Berlin-based start-up, providing a software solution that allows companies to integrate tactile feedback into their products. Ghost Creator allows you to rapidly develop tactile prototypes with up to 48 motors and Ghost Studio allows you to benefit from a library of tactile patters. The Ghost Development Kits e.g. vests/seats, let you create amazing tactile experiences within hours rather than months. 
See how Mercedes-Benz AG is revolutionizing navigation systems with Ghost’s software solution. ",b2b,pre_seed,Berlin,hello@ghost-feel.it,491622414355,https://www.linkedin.com/company/ghost-feel-it
0,Chargetrip,www.chargetrip.com,"Chargetrip is the world's leading Smart EV Routing platform. We make EV-driving and -charging predictable, reduce operational costs, and unlock new business models. 

Our customers are CPOs, Fleet Operators, OEMs, Telematics providers, and Mobility Service Providers, who use our Routing-API to power solutions for individual EV-drivers and EV-fleets.",b2b,seed,Amsterdam,info@chargetrip.com,31648475965,https://www.linkedin.com/company/chargetrip/
0,HYRE,hyretalents.com/,We source and curate a pool of highly motivated & skilled sales talents and help companies find candidates which share their goals.,b2b2c,pre_seed,Berlin,hyre.founders@apx.vc,,https://www.linkedin.com/company/hyretalents
0,Seashell,,"Seashell GmbH is a Düsseldorf- and Berlin-based tech startup that provides device, server, and infrastructure software to help engineering teams reduce complexity throughout the entire lifecycle of their edge computing projects.",b2b,pre_seed,Düsseldorf and Berlin,bfranke@seashell.sh,,https://www.linkedin.com/company/https://www.linkedin.com/company/seashelltechnology/?viewAsMember=true
